image_name,Class,glaucoma,normal
r1_Im069.png,glaucoma,0.99498,0.00502
r1_Im103.png,glaucoma,0.78235,0.21765
r1_Im113.png,glaucoma,0.00028,0.99972
r1_Im117.png,glaucoma,0.00308,0.99692
r1_Im118.png,glaucoma,0.00279,0.99721
r1_Im120.png,glaucoma,0.14466,0.85534
r1_Im121.png,glaucoma,0.79947,0.20053
r1_Im122.png,glaucoma,0.00291,0.99709
r1_Im135.png,glaucoma,0.42615,0.57385
r1_Im144.png,glaucoma,0.28413,0.71587
r1_Im158.png,glaucoma,0.00008,0.99992
r1_Im167.png,glaucoma,0.30364,0.69636
r2_Im257.png,glaucoma,0.99997,0.00003
r2_Im258.png,glaucoma,0.99999,0.00001
r2_Im260.png,glaucoma,0.97824,0.02176
r2_Im263.png,glaucoma,0.99973,0.00027
r2_Im264.png,glaucoma,0.99975,0.00025
r2_Im266.png,glaucoma,0.99877,0.00123
r2_Im267.png,glaucoma,0.98340,0.01660
r2_Im268.png,glaucoma,0.98114,0.01886
r2_Im269.png,glaucoma,0.99794,0.00206
r2_Im270.png,glaucoma,0.99996,0.00004
r2_Im273.png,glaucoma,0.99967,0.00033
r2_Im275.png,glaucoma,0.00019,0.99981
r2_Im277.png,glaucoma,0.39612,0.60388
r2_Im281.png,glaucoma,0.00479,0.99521
r2_Im287.png,glaucoma,0.99786,0.00214
r2_Im288.png,glaucoma,0.99862,0.00138
r2_Im289.png,glaucoma,0.99607,0.00393
r2_Im290.png,glaucoma,0.99975,0.00025
r2_Im291.png,glaucoma,0.99992,0.00008
r2_Im292.png,glaucoma,0.16138,0.83862
r2_Im293.png,glaucoma,0.99384,0.00616
r2_Im294.png,glaucoma,0.99989,0.00011
r2_Im301.png,glaucoma,0.99310,0.00690
r2_Im302.png,glaucoma,0.99105,0.00895
r2_Im303.png,glaucoma,0.97660,0.02340
r2_Im305.png,glaucoma,0.99727,0.00273
r2_Im314.png,glaucoma,0.99987,0.00013
r2_Im315.png,glaucoma,0.96479,0.03521
r2_Im317.png,glaucoma,0.73698,0.26302
r2_Im318.png,glaucoma,0.23428,0.76572
r2_Im319.png,glaucoma,0.99952,0.00048
r2_Im320.png,glaucoma,0.99921,0.00079
r2_Im321.png,glaucoma,0.95368,0.04632
r2_Im324.png,glaucoma,0.98710,0.01290
r2_Im329.png,glaucoma,0.90120,0.09880
r2_Im330.png,glaucoma,0.95998,0.04002
r2_Im331.png,glaucoma,0.99827,0.00173
r2_Im332.png,glaucoma,0.94011,0.05989
r2_Im333.png,glaucoma,0.98697,0.01303
r2_Im334.png,glaucoma,0.98486,0.01514
r2_Im338.png,glaucoma,0.01371,0.98629
r2_Im339.png,glaucoma,0.29119,0.70881
r2_Im343.png,glaucoma,0.99968,0.00032
r2_Im344.png,glaucoma,0.99939,0.00061
r2_Im347.png,glaucoma,0.31832,0.68168
r2_Im348.png,glaucoma,0.04714,0.95286
r2_Im351.png,glaucoma,0.17571,0.82429
r2_Im352.png,glaucoma,0.43759,0.56241
r2_Im354.png,glaucoma,0.99941,0.00059
r2_Im355.png,glaucoma,0.93272,0.06728
r2_Im356.png,glaucoma,0.99833,0.00167
r2_Im357.png,glaucoma,0.99972,0.00028
r2_Im358.png,glaucoma,0.78026,0.21974
r2_Im362.png,glaucoma,0.10613,0.89387
r2_Im365.png,glaucoma,0.62480,0.37520
r2_Im366.png,glaucoma,0.00320,0.99680
r2_Im369.png,glaucoma,0.46957,0.53043
r2_Im373.png,glaucoma,0.51182,0.48818
r2_Im376.png,glaucoma,0.89005,0.10995
r2_Im377.png,glaucoma,0.15861,0.84139
r2_Im383.png,glaucoma,0.99980,0.00020
r2_Im384.png,glaucoma,0.87721,0.12279
