image_name,Class,glaucoma,normal
r1_Im069.png,glaucoma,1.00000,0.00000
r1_Im103.png,glaucoma,0.96884,0.03116
r1_Im113.png,glaucoma,0.95926,0.04074
r1_Im117.png,glaucoma,0.33647,0.66353
r1_Im118.png,glaucoma,0.62265,0.37735
r1_Im120.png,glaucoma,0.52897,0.47103
r1_Im121.png,glaucoma,0.97569,0.02431
r1_Im122.png,glaucoma,0.99854,0.00146
r1_Im135.png,glaucoma,0.86122,0.13878
r1_Im144.png,glaucoma,0.60371,0.39629
r1_Im158.png,glaucoma,0.21487,0.78513
r1_Im167.png,glaucoma,0.77333,0.22667
r2_Im257.png,glaucoma,0.99962,0.00038
r2_Im258.png,glaucoma,0.98535,0.01465
r2_Im260.png,glaucoma,0.94953,0.05047
r2_Im263.png,glaucoma,1.00000,0.00000
r2_Im264.png,glaucoma,1.00000,0.00000
r2_Im266.png,glaucoma,0.95150,0.04850
r2_Im267.png,glaucoma,0.68180,0.31820
r2_Im268.png,glaucoma,0.72071,0.27929
r2_Im269.png,glaucoma,0.99389,0.00611
r2_Im270.png,glaucoma,1.00000,0.00000
r2_Im273.png,glaucoma,0.99303,0.00697
r2_Im275.png,glaucoma,0.43595,0.56405
r2_Im277.png,glaucoma,0.74360,0.25640
r2_Im281.png,glaucoma,0.99980,0.00020
r2_Im287.png,glaucoma,0.97878,0.02122
r2_Im288.png,glaucoma,0.99468,0.00532
r2_Im289.png,glaucoma,0.99938,0.00062
r2_Im290.png,glaucoma,0.93763,0.06237
r2_Im291.png,glaucoma,0.99998,0.00002
r2_Im292.png,glaucoma,0.85879,0.14121
r2_Im293.png,glaucoma,0.87112,0.12888
r2_Im294.png,glaucoma,0.59050,0.40950
r2_Im301.png,glaucoma,0.99194,0.00806
r2_Im302.png,glaucoma,0.95723,0.04277
r2_Im303.png,glaucoma,0.96764,0.03236
r2_Im305.png,glaucoma,0.98480,0.01520
r2_Im314.png,glaucoma,0.99226,0.00774
r2_Im315.png,glaucoma,0.87890,0.12110
r2_Im317.png,glaucoma,0.95359,0.04641
r2_Im318.png,glaucoma,0.08192,0.91808
r2_Im319.png,glaucoma,0.99996,0.00004
r2_Im320.png,glaucoma,0.48924,0.51076
r2_Im321.png,glaucoma,0.99585,0.00415
r2_Im324.png,glaucoma,0.98925,0.01075
r2_Im329.png,glaucoma,0.97926,0.02074
r2_Im330.png,glaucoma,0.99603,0.00397
r2_Im331.png,glaucoma,0.69008,0.30992
r2_Im332.png,glaucoma,0.81433,0.18567
r2_Im333.png,glaucoma,0.99952,0.00048
r2_Im334.png,glaucoma,0.97419,0.02581
r2_Im338.png,glaucoma,0.06861,0.93139
r2_Im339.png,glaucoma,0.99747,0.00253
