image_name,Class,glaucoma,normal
r1_Im069.png,glaucoma,0.27779,0.72221
r1_Im103.png,glaucoma,0.94060,0.05940
r1_Im113.png,glaucoma,0.13017,0.86983
r1_Im117.png,glaucoma,0.34629,0.65371
r1_Im118.png,glaucoma,0.14607,0.85393
r1_Im120.png,glaucoma,0.56459,0.43541
r1_Im121.png,glaucoma,0.93982,0.06018
r1_Im122.png,glaucoma,0.06053,0.93947
r1_Im135.png,glaucoma,0.98508,0.01492
r1_Im144.png,glaucoma,0.63472,0.36528
r1_Im158.png,glaucoma,0.19197,0.80803
r1_Im167.png,glaucoma,0.58342,0.41658
r2_Im257.png,glaucoma,0.88087,0.11913
r2_Im258.png,glaucoma,0.94432,0.05568
r2_Im260.png,glaucoma,0.88810,0.11190
r2_Im263.png,glaucoma,0.84626,0.15374
r2_Im264.png,glaucoma,0.98822,0.01178
r2_Im266.png,glaucoma,0.44767,0.55233
r2_Im267.png,glaucoma,0.85296,0.14704
r2_Im268.png,glaucoma,0.74864,0.25136
r2_Im269.png,glaucoma,0.86493,0.13507
r2_Im270.png,glaucoma,0.94632,0.05368
r2_Im273.png,glaucoma,0.29563,0.70437
r2_Im275.png,glaucoma,0.07766,0.92234
r2_Im277.png,glaucoma,0.06656,0.93344
r2_Im281.png,glaucoma,0.08303,0.91697
r2_Im287.png,glaucoma,0.54567,0.45433
r2_Im288.png,glaucoma,0.92744,0.07256
r2_Im289.png,glaucoma,0.95935,0.04065
r2_Im290.png,glaucoma,0.87441,0.12559
r2_Im291.png,glaucoma,0.96883,0.03117
r2_Im292.png,glaucoma,0.49935,0.50065
r2_Im293.png,glaucoma,0.94699,0.05301
r2_Im294.png,glaucoma,0.76629,0.23371
r2_Im301.png,glaucoma,0.75636,0.24364
r2_Im302.png,glaucoma,0.70273,0.29727
r2_Im303.png,glaucoma,0.90532,0.09468
r2_Im305.png,glaucoma,0.76644,0.23356
r2_Im314.png,glaucoma,0.96831,0.03169
r2_Im315.png,glaucoma,0.67212,0.32788
r2_Im317.png,glaucoma,0.49489,0.50511
r2_Im318.png,glaucoma,0.29582,0.70418
r2_Im319.png,glaucoma,0.98595,0.01405
r2_Im320.png,glaucoma,0.25913,0.74087
r2_Im321.png,glaucoma,0.90395,0.09605
r2_Im324.png,glaucoma,0.88838,0.11162
r2_Im329.png,glaucoma,0.49000,0.51000
r2_Im330.png,glaucoma,0.21835,0.78165
r2_Im331.png,glaucoma,0.54160,0.45840
r2_Im332.png,glaucoma,0.65204,0.34796
r2_Im333.png,glaucoma,0.77689,0.22311
r2_Im334.png,glaucoma,0.77476,0.22524
r2_Im338.png,glaucoma,0.06926,0.93074
r2_Im339.png,glaucoma,0.10945,0.89055
r2_Im343.png,glaucoma,0.99027,0.00973
r2_Im344.png,glaucoma,0.98057,0.01943
r2_Im347.png,glaucoma,0.39029,0.60971
r2_Im348.png,glaucoma,0.01662,0.98338
r2_Im351.png,glaucoma,0.14684,0.85316
r2_Im352.png,glaucoma,0.53301,0.46699
r2_Im354.png,glaucoma,0.82936,0.17064
