image_name,Class,glaucoma,normal
r1_Im069.png,glaucoma,0.06700,0.93300
r1_Im103.png,glaucoma,0.23138,0.76862
r1_Im113.png,glaucoma,0.13361,0.86639
r1_Im117.png,glaucoma,0.32305,0.67695
r1_Im118.png,glaucoma,0.14435,0.85565
r1_Im120.png,glaucoma,0.16490,0.83510
r1_Im121.png,glaucoma,0.07521,0.92479
r1_Im122.png,glaucoma,0.07249,0.92751
r1_Im135.png,glaucoma,0.16816,0.83184
r1_Im144.png,glaucoma,0.24425,0.75575
r1_Im158.png,glaucoma,0.17351,0.82649
r1_Im167.png,glaucoma,0.16323,0.83677
r2_Im257.png,glaucoma,0.00820,0.99180
r2_Im258.png,glaucoma,0.02573,0.97427
r2_Im260.png,glaucoma,0.01353,0.98647
r2_Im263.png,glaucoma,0.10056,0.89944
r2_Im264.png,glaucoma,0.11287,0.88713
r2_Im266.png,glaucoma,0.06581,0.93419
r2_Im267.png,glaucoma,0.13619,0.86381
r2_Im268.png,glaucoma,0.07730,0.92270
r2_Im269.png,glaucoma,0.05511,0.94489
r2_Im270.png,glaucoma,0.07404,0.92596
r2_Im273.png,glaucoma,0.03497,0.96503
r2_Im275.png,glaucoma,0.02120,0.97880
r2_Im277.png,glaucoma,0.08196,0.91803
r2_Im281.png,glaucoma,0.05877,0.94123
r2_Im287.png,glaucoma,0.10670,0.89330
r2_Im288.png,glaucoma,0.11100,0.88900
r2_Im289.png,glaucoma,0.10664,0.89336
r2_Im290.png,glaucoma,0.08418,0.91582
r2_Im291.png,glaucoma,0.04601,0.95399
r2_Im292.png,glaucoma,0.12952,0.87048
r2_Im293.png,glaucoma,0.23180,0.76820
r2_Im294.png,glaucoma,0.17730,0.82270
r2_Im301.png,glaucoma,0.01979,0.98021
r2_Im302.png,glaucoma,0.19491,0.80509
r2_Im303.png,glaucoma,0.00972,0.99028
r2_Im305.png,glaucoma,0.03494,0.96506
r2_Im314.png,glaucoma,0.19639,0.80361
r2_Im315.png,glaucoma,0.08018,0.91982
r2_Im317.png,glaucoma,0.03565,0.96435
r2_Im318.png,glaucoma,0.12030,0.87970
r2_Im319.png,glaucoma,0.14320,0.85680
r2_Im320.png,glaucoma,0.19583,0.80417
r2_Im321.png,glaucoma,0.10068,0.89932
r2_Im324.png,glaucoma,0.23067,0.76933
r2_Im329.png,glaucoma,0.16982,0.83018
r2_Im330.png,glaucoma,0.16486,0.83514
r2_Im331.png,glaucoma,0.40970,0.59030
r2_Im332.png,glaucoma,0.33197,0.66803
r2_Im333.png,glaucoma,0.04417,0.95583
r2_Im334.png,glaucoma,0.10325,0.89675
r2_Im338.png,glaucoma,0.05077,0.94923
r2_Im339.png,glaucoma,0.32817,0.67183
r2_Im343.png,glaucoma,0.01395,0.98605
r2_Im344.png,glaucoma,0.02903,0.97097
r2_Im347.png,glaucoma,0.03386,0.96614
r2_Im348.png,glaucoma,0.11249,0.88751
r2_Im351.png,glaucoma,0.10338,0.89662
r2_Im352.png,glaucoma,0.08423,0.91577
r2_Im354.png,glaucoma,0.05584,0.94416
r2_Im355.png,glaucoma,0.03742,0.96258
r2_Im356.png,glaucoma,0.01960,0.98040
r2_Im357.png,glaucoma,0.04127,0.95873
r2_Im358.png,glaucoma,0.04995,0.95005
r2_Im362.png,glaucoma,0.10755,0.89245
r2_Im365.png,glaucoma,0.24842,0.75158
r2_Im366.png,glaucoma,0.15313,0.84687
r2_Im369.png,glaucoma,0.05307,0.94693
r2_Im373.png,glaucoma,0.09938,0.90062
r2_Im376.png,glaucoma,0.15901,0.84099
r2_Im377.png,glaucoma,0.02831,0.97169
r2_Im383.png,glaucoma,0.02627,0.97373
r2_Im384.png,glaucoma,0.19358,0.80642
r2_Im385.png,glaucoma,0.77213,0.22787
r2_Im387.png,glaucoma,0.09574,0.90426
r2_Im388.png,glaucoma,0.12937,0.87063
r2_Im389.png,glaucoma,0.07664,0.92336
r2_Im390.png,glaucoma,0.11325,0.88675
r2_Im391.png,glaucoma,0.07168,0.92832
r2_Im392.png,glaucoma,0.01325,0.98675
r2_Im393.png,glaucoma,0.34369,0.65631
r2_Im398.png,glaucoma,0.02187,0.97813
r2_Im399.png,glaucoma,0.10558,0.89442
r2_Im400.png,glaucoma,0.02376,0.97624
r2_Im401.png,glaucoma,0.05061,0.94939
r2_Im402.png,glaucoma,0.61109,0.38891
r2_Im403.png,glaucoma,0.15448,0.84552
r2_Im404.png,glaucoma,0.32978,0.67022
r2_Im406.png,glaucoma,0.01771,0.98229
r2_Im407.png,glaucoma,0.35343,0.64657
r2_Im408.png,glaucoma,0.22068,0.77932
r2_Im414.png,glaucoma,0.20016,0.79984
r2_Im415.png,glaucoma,0.01236,0.98764
r2_Im416.png,glaucoma,0.07370,0.92630
r2_Im418.png,glaucoma,0.17494,0.82506
r2_Im419.png,glaucoma,0.07525,0.92475
r2_Im420.png,glaucoma,0.08890,0.91110
r2_Im421.png,glaucoma,0.03028,0.96972
r2_Im422.png,glaucoma,0.02302,0.97698
r2_Im424.png,glaucoma,0.03346,0.96654
r2_Im427.png,glaucoma,0.00630,0.99370
r2_Im428.png,glaucoma,0.21221,0.78779
r2_Im429.png,glaucoma,0.07582,0.92418
r2_Im432.png,glaucoma,0.07585,0.92415
r2_Im433.png,glaucoma,0.03443,0.96557
r2_Im436.png,glaucoma,0.02495,0.97505
r2_Im439.png,glaucoma,0.06193,0.93807
r2_Im441.png,glaucoma,0.41023,0.58977
r2_Im442.png,glaucoma,0.17915,0.82085
r2_Im443.png,glaucoma,0.17123,0.82877
r2_Im444.png,glaucoma,0.01125,0.98875
r2_Im445.png,glaucoma,0.02028,0.97972
r2_Im448.png,glaucoma,0.02310,0.97690
r2_Im449.png,glaucoma,0.03021,0.96979
r2_Im450.png,glaucoma,0.21774,0.78226
r2_Im451.png,glaucoma,0.01759,0.98241
r2_Im453.png,glaucoma,0.35753,0.64247
r2_Im454.png,glaucoma,0.01013,0.98987
r2_Im455.png,glaucoma,0.03340,0.96660
r3_G-1-L_left_half.png,glaucoma,0.02472,0.97528
r3_G-10-L_left_half.png,glaucoma,0.73902,0.26098
r3_G-11-R_left_half.png,glaucoma,0.26127,0.73873
r3_G-12-L_left_half.png,glaucoma,0.12339,0.87661
r3_G-13-R_left_half.png,glaucoma,0.16630,0.83370
r3_G-14-R_left_half.png,glaucoma,0.31367,0.68633
r3_G-15-L_left_half.png,glaucoma,0.01422,0.98578
r3_G-16-R_left_half.png,glaucoma,0.72148,0.27852
r3_G-17-L_left_half.png,glaucoma,0.05928,0.94072
r3_G-18-R_left_half.png,glaucoma,0.03323,0.96677
r3_G-2-R_left_half.png,glaucoma,0.03159,0.96841
r3_G-22-L_left_half.png,glaucoma,0.14384,0.85616
r3_G-23-R_left_half.png,glaucoma,0.07810,0.92190
r3_G-25-L_left_half.png,glaucoma,0.22770,0.77230
r3_G-27-R_left_half.png,glaucoma,0.33356,0.66644
r3_G-29-R_left_half.png,glaucoma,0.51776,0.48224
r3_G-3-R_left_half.png,glaucoma,0.12010,0.87990
r3_G-30-L_left_half.png,glaucoma,0.28592,0.71408
r3_G-31-R_left_half.png,glaucoma,0.31981,0.68019
r3_G-32-L_left_half.png,glaucoma,0.00212,0.99788
r3_G-33-R_left_half.png,glaucoma,0.34002,0.65998
r3_G-34-L_left_half.png,glaucoma,0.37109,0.62891
r3_G-35-R_left_half.png,glaucoma,0.19504,0.80496
r3_G-37-R_left_half.png,glaucoma,0.16933,0.83067
r3_G-38-L_left_half.png,glaucoma,0.03670,0.96330
r3_G-39-L_left_half.png,glaucoma,0.31603,0.68397
r3_G-6-L_left_half.png,glaucoma,0.03155,0.96845
r3_G-8-R_left_half.png,glaucoma,0.11688,0.88312
r3_G-9-R_left_half.png,glaucoma,0.19764,0.80236
r3_S-1-L_left_half.png,glaucoma,0.02216,0.97784
r3_S-10-R_left_half.png,glaucoma,0.73266,0.26734
r3_S-11-L_left_half.png,glaucoma,0.37947,0.62053
r3_S-12-L_left_half.png,glaucoma,0.03338,0.96662
r3_S-13-R_left_half.png,glaucoma,0.73498,0.26502
r3_S-14-R_left_half.png,glaucoma,0.26904,0.73096
r3_S-18-L_left_half.png,glaucoma,0.53457,0.46543
r3_S-19-R_left_half.png,glaucoma,0.38262,0.61738
r3_S-2-L_left_half.png,glaucoma,0.30647,0.69353
r3_S-20-L_left_half.png,glaucoma,0.07836,0.92164
r3_S-21-R_left_half.png,glaucoma,0.29244,0.70756
r3_S-25-L_left_half.png,glaucoma,0.24941,0.75059
r3_S-26-R_left_half.png,glaucoma,0.46748,0.53252
r3_S-28-R_left_half.png,glaucoma,0.61749,0.38251
r3_S-29-R_left_half.png,glaucoma,0.14307,0.85693
r3_S-30-L_left_half.png,glaucoma,0.23819,0.76181
r3_S-31-L_left_half.png,glaucoma,0.14308,0.85692
r3_S-32-L_left_half.png,glaucoma,0.35381,0.64619
r3_S-33-R_left_half.png,glaucoma,0.27619,0.72381
r3_S-35-R_left_half.png,glaucoma,0.24793,0.75207
r3_S-4-L_left_half.png,glaucoma,0.17630,0.82370
r3_S-6-R_left_half.png,glaucoma,0.52044,0.47956
r3_S-9-L_left_half.png,glaucoma,0.54656,0.45344
r1_Im001.png,normal,0.53876,0.46124
r1_Im003.png,normal,0.83862,0.16138
r1_Im004.png,normal,0.66190,0.33810
r1_Im006.png,normal,0.50323,0.49677
r1_Im008.png,normal,0.77176,0.22824
r1_Im011.png,normal,0.82070,0.17930
r1_Im012.png,normal,0.44216,0.55784
r1_Im014.png,normal,0.37020,0.62980
r1_Im015.png,normal,0.90396,0.09604
r1_Im019.png,normal,0.69983,0.30017
r1_Im020.png,normal,0.66828,0.33172
r1_Im022.png,normal,0.64075,0.35925
r1_Im023.png,normal,0.91767,0.08233
r1_Im024.png,normal,0.46564,0.53436
r1_Im025.png,normal,0.78206,0.21794
r1_Im026.png,normal,0.63946,0.36054
r1_Im027.png,normal,0.73839,0.26161
r1_Im028.png,normal,0.72779,0.27221
r1_Im029.png,normal,0.83230,0.16770
r1_Im031.png,normal,0.92973,0.07027
r1_Im032.png,normal,0.42290,0.57710
r1_Im033.png,normal,0.74950,0.25050
r1_Im036.png,normal,0.76088,0.23912
r1_Im037.png,normal,0.81427,0.18573
r1_Im040.png,normal,0.89578,0.10422
r1_Im041.png,normal,0.63755,0.36245
r1_Im042.png,normal,0.19595,0.80405
r1_Im046.png,normal,0.54804,0.45196
r1_Im047.png,normal,0.81279,0.18721
r1_Im050.png,normal,0.20684,0.79316
r1_Im052.png,normal,0.82266,0.17734
r1_Im054.png,normal,0.92656,0.07344
r1_Im055.png,normal,0.74274,0.25726
r1_Im056.png,normal,0.74300,0.25700
r1_Im057.png,normal,0.89131,0.10869
r1_Im058.png,normal,0.95874,0.04126
r1_Im059.png,normal,0.59192,0.40808
r1_Im060.png,normal,0.82373,0.17627
r1_Im061.png,normal,0.96128,0.03872
r1_Im062.png,normal,0.87267,0.12733
r1_Im063.png,normal,0.83566,0.16434
r1_Im071.png,normal,0.64269,0.35731
r1_Im072.png,normal,0.65827,0.34173
r1_Im073.png,normal,0.68245,0.31755
r1_Im080.png,normal,0.82894,0.17106
r1_Im082.png,normal,0.81104,0.18896
r1_Im086.png,normal,0.97010,0.02990
r1_Im087.png,normal,0.89668,0.10332
r1_Im095.png,normal,0.80086,0.19914
r1_Im107.png,normal,0.52332,0.47668
r1_Im108.png,normal,0.70440,0.29560
r1_Im115.png,normal,0.76114,0.23886
r1_Im116.png,normal,0.89223,0.10777
r1_Im119.png,normal,0.83830,0.16170
r1_Im125.png,normal,0.67877,0.32123
r1_Im127.png,normal,0.93593,0.06407
r1_Im128.png,normal,0.97821,0.02179
r1_Im129.png,normal,0.94303,0.05697
r1_Im130.png,normal,0.89444,0.10556
r1_Im131.png,normal,0.96759,0.03241
r1_Im132.png,normal,0.85755,0.14245
r1_Im133.png,normal,0.60670,0.39330
r1_Im136.png,normal,0.66675,0.33325
r1_Im137.png,normal,0.64736,0.35264
r1_Im138.png,normal,0.82041,0.17959
r1_Im142.png,normal,0.78877,0.21123
r1_Im143.png,normal,0.95316,0.04684
r1_Im145.png,normal,0.65645,0.34355
r1_Im146.png,normal,0.59174,0.40826
r1_Im149.png,normal,0.87535,0.12465
r1_Im150.png,normal,0.77371,0.22629
r1_Im151.png,normal,0.74230,0.25770
r1_Im152.png,normal,0.39363,0.60637
r1_Im153.png,normal,0.92548,0.07452
r1_Im154.png,normal,0.97298,0.02702
r1_Im155.png,normal,0.86369,0.13631
r1_Im156.png,normal,0.88123,0.11877
r1_Im159.png,normal,0.69767,0.30233
r1_Im161.png,normal,0.73361,0.26639
r1_Im162.png,normal,0.94288,0.05712
r1_Im163.png,normal,0.76438,0.23562
r1_Im164.png,normal,0.94701,0.05299
r1_Im165.png,normal,0.81556,0.18444
r1_Im166.png,normal,0.62342,0.37658
r1_Im168.png,normal,0.70671,0.29329
r1_Im169.png,normal,0.49916,0.50084
r2_Im001.png,normal,0.28907,0.71093
r2_Im002.png,normal,0.41632,0.58368
r2_Im003.png,normal,0.72176,0.27824
r2_Im004.png,normal,0.37564,0.62436
r2_Im005.png,normal,0.39580,0.60420
r2_Im006.png,normal,0.51935,0.48065
r2_Im007.png,normal,0.83439,0.16561
r2_Im009.png,normal,0.43051,0.56949
r2_Im010.png,normal,0.54420,0.45580
r2_Im011.png,normal,0.57557,0.42443
r2_Im012.png,normal,0.70240,0.29760
r2_Im013.png,normal,0.36090,0.63910
r2_Im014.png,normal,0.58662,0.41338
r2_Im015.png,normal,0.67781,0.32219
r2_Im016.png,normal,0.86697,0.13303
r2_Im017.png,normal,0.31900,0.68100
r2_Im018.png,normal,0.70317,0.29683
r2_Im019.png,normal,0.42838,0.57162
r2_Im020.png,normal,0.71393,0.28607
r2_Im021.png,normal,0.27066,0.72934
r2_Im022.png,normal,0.60890,0.39110
r2_Im023.png,normal,0.60435,0.39565
r2_Im024.png,normal,0.55543,0.44457
r2_Im025.png,normal,0.59005,0.40995
r2_Im026.png,normal,0.65004,0.34996
r2_Im027.png,normal,0.53192,0.46808
r2_Im028.png,normal,0.68143,0.31857
r2_Im029.png,normal,0.54676,0.45324
r2_Im030.png,normal,0.67696,0.32304
r2_Im031.png,normal,0.65044,0.34956
r2_Im032.png,normal,0.74074,0.25926
r2_Im033.png,normal,0.72277,0.27723
r2_Im034.png,normal,0.67096,0.32904
r2_Im036.png,normal,0.87672,0.12328
r2_Im038.png,normal,0.51167,0.48833
r2_Im040.png,normal,0.64315,0.35685
r2_Im042.png,normal,0.07337,0.92663
r2_Im044.png,normal,0.61483,0.38517
r2_Im046.png,normal,0.54557,0.45443
r2_Im048.png,normal,0.69325,0.30675
r2_Im050.png,normal,0.81902,0.18098
r2_Im052.png,normal,0.46813,0.53187
r2_Im054.png,normal,0.70123,0.29877
r2_Im056.png,normal,0.73343,0.26657
r2_Im058.png,normal,0.62914,0.37086
r2_Im060.png,normal,0.81692,0.18308
r2_Im062.png,normal,0.74211,0.25789
r2_Im064.png,normal,0.76790,0.23210
r2_Im066.png,normal,0.40080,0.59920
r2_Im068.png,normal,0.80469,0.19531
r2_Im070.png,normal,0.93002,0.06998
r2_Im072.png,normal,0.50148,0.49852
r2_Im074.png,normal,0.53913,0.46087
r2_Im076.png,normal,0.86282,0.13718
r2_Im078.png,normal,0.80228,0.19772
r2_Im080.png,normal,0.60074,0.39926
r2_Im082.png,normal,0.60963,0.39037
r2_Im084.png,normal,0.76354,0.23646
r2_Im086.png,normal,0.95337,0.04663
r2_Im088.png,normal,0.81257,0.18743
r2_Im090.png,normal,0.83588,0.16412
r2_Im092.png,normal,0.86900,0.13100
r2_Im094.png,normal,0.66260,0.33740
r2_Im096.png,normal,0.62221,0.37779
r2_Im098.png,normal,0.69487,0.30513
r2_Im100.png,normal,0.73851,0.26149
r2_Im102.png,normal,0.56180,0.43820
r2_Im104.png,normal,0.69445,0.30555
r2_Im106.png,normal,0.71737,0.28263
r2_Im108.png,normal,0.71161,0.28839
r2_Im110.png,normal,0.27898,0.72102
r2_Im112.png,normal,0.85365,0.14635
r2_Im114.png,normal,0.70716,0.29284
r2_Im116.png,normal,0.66365,0.33635
r2_Im118.png,normal,0.72568,0.27432
r2_Im120.png,normal,0.74015,0.25985
r2_Im122.png,normal,0.80287,0.19713
r2_Im124.png,normal,0.65645,0.34355
r2_Im126.png,normal,0.41678,0.58322
r2_Im128.png,normal,0.71528,0.28472
r2_Im130.png,normal,0.72693,0.27307
r2_Im132.png,normal,0.69122,0.30878
r2_Im134.png,normal,0.83931,0.16069
r2_Im136.png,normal,0.81196,0.18804
r2_Im138.png,normal,0.55285,0.44715
r2_Im140.png,normal,0.78587,0.21413
r2_Im142.png,normal,0.84897,0.15103
r2_Im144.png,normal,0.43931,0.56069
r2_Im146.png,normal,0.80295,0.19705
r2_Im148.png,normal,0.58836,0.41164
r2_Im150.png,normal,0.75551,0.24449
r2_Im152.png,normal,0.55868,0.44132
r2_Im154.png,normal,0.69165,0.30835
r2_Im156.png,normal,0.89656,0.10344
r2_Im158.png,normal,0.83731,0.16269
r2_Im160.png,normal,0.75106,0.24894
r2_Im162.png,normal,0.60505,0.39495
r2_Im164.png,normal,0.51215,0.48785
r2_Im166.png,normal,0.93438,0.06562
r2_Im168.png,normal,0.78030,0.21970
r2_Im170.png,normal,0.81341,0.18659
r2_Im172.png,normal,0.80886,0.19114
r2_Im174.png,normal,0.56653,0.43347
r2_Im176.png,normal,0.61281,0.38719
r2_Im178.png,normal,0.78952,0.21048
r2_Im180.png,normal,0.76726,0.23274
r2_Im182.png,normal,0.55211,0.44789
r2_Im184.png,normal,0.82251,0.17749
r2_Im186.png,normal,0.56784,0.43216
r2_Im188.png,normal,0.67286,0.32714
r2_Im190.png,normal,0.47147,0.52853
r2_Im192.png,normal,0.79924,0.20076
r2_Im194.png,normal,0.48064,0.51936
r2_Im196.png,normal,0.79582,0.20418
r2_Im198.png,normal,0.80044,0.19956
r2_Im200.png,normal,0.63819,0.36181
r2_Im202.png,normal,0.73602,0.26398
r2_Im206.png,normal,0.42597,0.57403
r2_Im208.png,normal,0.74270,0.25730
r2_Im210.png,normal,0.77884,0.22116
r2_Im212.png,normal,0.94570,0.05430
r2_Im214.png,normal,0.11041,0.88959
r2_Im216.png,normal,0.90415,0.09585
r2_Im218.png,normal,0.28359,0.71641
r2_Im220.png,normal,0.49201,0.50799
r2_Im222.png,normal,0.40571,0.59429
r2_Im224.png,normal,0.83350,0.16650
r2_Im226.png,normal,0.14772,0.85228
r2_Im228.png,normal,0.42355,0.57645
r2_Im230.png,normal,0.69438,0.30562
r2_Im232.png,normal,0.71613,0.28387
r2_Im234.png,normal,0.85949,0.14051
r2_Im236.png,normal,0.76374,0.23626
r2_Im238.png,normal,0.76936,0.23064
r2_Im240.png,normal,0.12099,0.87901
r2_Im242.png,normal,0.28304,0.71696
r2_Im244.png,normal,0.88230,0.11770
r2_Im246.png,normal,0.76182,0.23818
r2_Im248.png,normal,0.89906,0.10094
r2_Im250.png,normal,0.48852,0.51148
r2_Im252.png,normal,0.25544,0.74456
r2_Im254.png,normal,0.83787,0.16213
r3_N-1-L_left_half.png,normal,0.84490,0.15510
r3_N-10-R_left_half.png,normal,0.95270,0.04730
r3_N-11-L_left_half.png,normal,0.97017,0.02983
r3_N-12-R_left_half.png,normal,0.92293,0.07707
r3_N-13-L_left_half.png,normal,0.96453,0.03547
r3_N-14-R_left_half.png,normal,0.61587,0.38413
r3_N-16-R_left_half.png,normal,0.69593,0.30407
r3_N-17-L_left_half.png,normal,0.99444,0.00556
r3_N-18-R_left_half.png,normal,0.90650,0.09350
r3_N-2-R_left_half.png,normal,0.79099,0.20901
r3_N-20-R_left_half.png,normal,0.84209,0.15791
r3_N-21-L_left_half.png,normal,0.86519,0.13481
r3_N-22-R_left_half.png,normal,0.94941,0.05059
r3_N-23-L_left_half.png,normal,0.86233,0.13767
r3_N-24-R_left_half.png,normal,0.98679,0.01321
r3_N-25-L_left_half.png,normal,0.81994,0.18006
r3_N-26-R_left_half.png,normal,0.89706,0.10294
r3_N-27-L_left_half.png,normal,0.73434,0.26566
r3_N-28-R_left_half.png,normal,0.83954,0.16046
r3_N-29-L_left_half.png,normal,0.66824,0.33176
r3_N-3-L_left_half.png,normal,0.83588,0.16412
r3_N-30-R_left_half.png,normal,0.69000,0.31000
r3_N-31-L_left_half.png,normal,0.87280,0.12720
r3_N-32-R_left_half.png,normal,0.86984,0.13016
